,team_1,team_2,score,date,time,staduim,Year
173,Mexico,Uruguay,0–0,19-07-1966,16:30,"Wembley Stadium, London",1966
174,England,France,2–0,20-07-1966,19:30,"Wembley Stadium, London",1966
175,West Germany,Switzerland,5–0,12-07-1966,19:30,"Hillsborough Stadium, Sheffield",1966
176,Argentina,Spain,2–1,13-07-1966,19:30,"Villa Park, Birmingham",1966
177,Spain,Switzerland,2–1,15-07-1966,19:30,"Hillsborough Stadium, Sheffield",1966
178,Argentina,West Germany,0–0,16-07-1966,15:00,"Villa Park, Birmingham",1966
179,Argentina,Switzerland,2–0,19-07-1966,19:30,"Hillsborough Stadium, Sheffield",1966
180,West Germany,Spain,2–1,20-07-1966,19:30,"Villa Park, Birmingham",1966
181,Brazil,Bulgaria,2–0,12-07-1966,19:30,"Goodison Park, Liverpool",1966
182,Portugal,Hungary,3–1,13-07-1966,19:30,"Old Trafford, Manchester",1966
183,Hungary,Brazil,3–1,15-07-1966,19:30,"Goodison Park, Liverpool",1966
184,Portugal,Bulgaria,3–0,16-07-1966,15:00,"Old Trafford, Manchester",1966
185,Portugal,Brazil,3–1,19-07-1966,19:30,"Goodison Park, Liverpool",1966
186,Hungary,Bulgaria,3–1,20-07-1966,19:30,"Old Trafford, Manchester",1966
187,Soviet Union,North Korea,3–0,12-07-1966,19:30,"Ayresome Park, Middlesbrough",1966
188,Italy,Chile,2–0,13-07-1966,19:30,"Roker Park, Sunderland",1966
189,Chile,North Korea,1–1,15-07-1966,19:30,"Ayresome Park, Middlesbrough",1966
190,Soviet Union,Italy,1–0,16-07-1966,15:00,"Roker Park, Sunderland",1966
191,North Korea,Italy,1–0,19-07-1966,19:30,"Ayresome Park, Middlesbrough",1966
192,Soviet Union,Chile,2–1,20-07-1966,19:30,"Roker Park, Sunderland",1966
193,England,Argentina,1–0,23-07-1966,15:00,"Wembley Stadium, London",1966
194,West Germany,Uruguay,4–0,23-07-1966,15:00,"Hillsborough Stadium, Sheffield",1966
195,Soviet Union,Hungary,2–1,23-07-1966,15:00,"Roker Park, Sunderland",1966
196,Portugal,North Korea,5–3,23-07-1966,15:00,"Goodison Park, Liverpool",1966
197,West Germany,Soviet Union,2–1,25-07-1966,19:30,"Goodison Park, Liverpool",1966
198,England,Portugal,2–1,26-07-1966,19:30,"Wembley Stadium, London",1966
199,Portugal,Soviet Union,2–1,28-07-1966,19:30,"Wembley Stadium, London",1966
200,England,West Germany,4–2 P,30-07-1966,15:00,"Wembley Stadium, London",1966
201,Mexico,Soviet Union,0–0,31-05-1970,12:00,"Estadio Azteca, Mexico City",1970
202,Belgium,El Salvador,3–0,3-06-1970,16:00,"Estadio Azteca, Mexico City",1970
203,Soviet Union,Belgium,4–1,6-06-1970,16:00,"Estadio Azteca, Mexico City",1970
204,Mexico,El Salvador,4–0,7-06-1970,12:00,"Estadio Azteca, Mexico City",1970
